feature,domain,best_horizon_bars,best_ic,ic_trend,ic_1bar,ic_12bar
F_I_T_fundingMa_7_pct_N,Funding,6,-0.01358279821989093,increasing,0.0007356850547607883,-0.012068148084991749
M_P_roc_21_pct_N,Momentum,3,-0.01354151322066752,stable,-0.01066484543829384,-0.012778551759773427
M_T_ppo_12_26_pct_N,Trend,3,-0.012810116586210018,stable,-0.007030254160799635,-0.007292616814443288
V_maxDrawdown_42_pct_N,Volatility,3,-0.012163347576144182,increasing,0.0014390357219571917,-0.00230393746081901
D_N_V_markAtrRatio_21_rat_N,Volatility,6,0.011558773255951378,increasing,0.0018045315003784815,-0.006466449558977536
L_V_amihudIlliquidity_12_rat_N,Volatility,12,0.011378206731724471,increasing,0.001242836860494238,0.011378206731724471
D_N_V_markAtrRatio_12_rat_N,Volatility,6,0.010767247668131395,increasing,0.0022673883398296136,-0.01053276802687523
V_volOfVol_21_pct_N,Volatility,12,-0.010083539507190983,increasing,0.0021316899329092923,-0.010083539507190983
D_F_T_premiumMa_7_pct_N,Premium,12,-0.009956623562176038,stable,-0.0068054639985398796,-0.009956623562176038
F_I_T_fundingMa_21_pct_N,Funding,12,0.009428410604110529,stable,0.008461017568496395,0.009428410604110529
L_V_amihudIlliquidity_21_rat_N,Volatility,3,0.0089180306513202,decreasing,0.001056103733297173,0.00014271791953639564
V_kurtosis_42_rat_N,Volatility,3,-0.008730684300548302,stable,-0.001941338972059743,-0.0021800758279636265
F_TM_fundingCyclePosition_bin,Other,1,0.00849319826174791,unknown,0.00849319826174791,
L_M_S_mfi_21_bnd_N,Volume,3,-0.007867661647340266,stable,-0.003680205416011241,0.003384808586621666
L_M_N_S_oiRoc_3_pct_N,OpenInterest,3,-0.007359011933807523,increasing,-0.0015477579198279825,-0.004237069537398447
F_I_fundingCumulative_21_pct_N,Funding,1,0.006465052992049083,decreasing,0.006465052992049083,0.0021516166158514435
L_V_amihudIlliquidity_63_rat_N,Volatility,3,0.005085374665292411,increasing,-0.001023953524646392,0.00238483978176096
