feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic,horizon_bars,horizon_label
V_hurstExponent_63_rat_N,0.12971553777978387,1.4631872760063461e-21,0.5202312138728323,5375,Volatility,2.4288908781705345e-19,True,0.12971553777978387,12,96h
V_hurstExponent_126_rat_N,0.09597218136214836,2.5342109495592174e-12,0.5167924528301887,5312,Volatility,2.1033950881341506e-10,True,0.09597218136214836,12,96h
V_skew_42_rat_N,0.08328617032777866,9.33400250268066e-10,0.5317607726597325,5396,Volatility,5.164814718149965e-08,True,0.08328617032777866,12,96h
M_T_V_adx_12_bnd_N,0.06175842958681407,5.311570245402855e-06,0.519447004608295,5437,Volatility,0.0002204301651842185,True,0.06175842958681407,12,96h
N_V_bollingerBandwidth_42_pct_N,0.05497109440882312,5.4362134024779385e-05,0.5186629526462395,5397,Volatility,0.0018048228496226758,True,0.05497109440882312,12,96h
D_N_closeVsMarkVol_21_pct_N,-0.053487080647274136,8.334518644602229e-05,0.5181280059193488,5418,Other,0.002305883491673283,True,0.053487080647274136,12,96h
L_M_S_cmf_21_bnd_N,-0.05233935642387359,0.00011810500174074968,0.47058823529411764,5418,Volume,0.0028007757555663496,True,0.05233935642387359,12,96h
L_M_S_cmf_12_bnd_N,-0.051194068368286286,0.00016403210063338652,0.47331486611265006,5427,Volume,0.00340366608814277,True,0.051194068368286286,12,96h
F_I_M_fundingMaDiff_7_21_pct_N,-0.04974479155842559,0.00024666725587978655,0.4467379284924438,5438,Funding,0.004549640497338286,True,0.04974479155842559,12,96h
L_M_S_cmf_6_bnd_N,-0.04644392073799379,0.0006248219065060841,0.4742667404537908,5433,Volume,0.010372043648000996,True,0.04644392073799379,12,96h
V_autocorr_21_bnd_N,-0.04455010681622394,0.0010523819315762864,0.47955596669750233,5417,Volatility,0.01588140005833305,True,0.04455010681622394,12,96h
S_longShortRatio_rat_N,-0.044012572205374474,0.0018881873463760432,0.5180650341228422,4994,Sentiment,0.026119924958201934,True,0.044012572205374474,12,96h
S_N_longShortZscore_21_zsc_N,-0.03839107693780543,0.006951047949533334,0.49453662484823957,4954,Sentiment,0.08733902862777658,False,0.03839107693780543,12,96h
S_M_longShortChange_3_pct_N,-0.03729032586688962,0.008513233896613024,0.5037170986538075,4989,Sentiment,0.08832480167736012,False,0.03729032586688962,12,96h
D_F_N_S_premiumZscore_21_zsc_N,-0.03637673938324527,0.007365942173426941,0.48286030224843346,5438,Premium,0.08733902862777658,False,0.03637673938324527,12,96h
L_N_S_oiRatio_21_rat_N,-0.036084785920584346,0.007968474183726601,0.5181280059193488,5418,OpenInterest,0.08818444763324104,False,0.036084785920584346,12,96h
D_N_closeVsMarkVol_12_pct_N,-0.03541027930992734,0.009162233606456795,0.5185595567867036,5427,Other,0.08946651639246048,False,0.03541027930992734,12,96h
S_M_longShortChange_12_pct_N,-0.034050996743838643,0.016388629369374973,0.5,4980,Sentiment,0.12394367429059523,False,0.034050996743838643,12,96h
V_volMomentum_21_pct_N,0.03343344123867481,0.0140561227606556,0.5112140871177016,5407,Volatility,0.12394367429059523,False,0.03343344123867481,12,96h
L_M_S_mfi_6_bnd_N,0.03333056755837021,0.015591306708062084,0.5070288753799392,5276,Volume,0.12394367429059523,False,0.03333056755837021,12,96h
