feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic,horizon_bars,horizon_label
V_hurstExponent_63_rat_N,0.08543410786608382,3.6090665527151747e-10,0.5170422797541442,5375,Volatility,5.99105047750719e-08,True,0.08543410786608382,6,48h
M_T_V_adx_12_bnd_N,0.06549428198851436,1.3605532876761682e-06,0.5170318541705027,5437,Volatility,0.00011292592287712197,True,0.06549428198851436,6,48h
V_skew_42_rat_N,0.05988891618096374,1.0836501200815831e-05,0.5133580705009276,5396,Volatility,0.0005996197331118093,True,0.05988891618096374,6,48h
M_T_V_adx_6_bnd_N,0.05413381262696098,6.567967439001087e-05,0.5170318541705027,5437,Volatility,0.002725706487185451,True,0.05413381262696098,6,48h
V_hurstExponent_126_rat_N,0.05374576782418501,8.970471158581137e-05,0.5148888051262721,5312,Volatility,0.0029781964246489373,True,0.05374576782418501,6,48h
S_M_longShortChange_12_pct_N,-0.05033773596185052,0.0003830301938079422,0.49236027342179334,4980,Sentiment,0.010517563769373678,True,0.05033773596185052,6,48h
S_N_longShortZscore_21_zsc_N,-0.048077393615756,0.000717083349849424,0.4900970088924818,4954,Sentiment,0.01190358360750044,True,0.048077393615756,6,48h
S_M_longShortChange_3_pct_N,-0.0479360536225143,0.0007119885487477134,0.49167168372466385,4989,Sentiment,0.01190358360750044,True,0.0479360536225143,6,48h
D_N_closeVsMarkVol_21_pct_N,-0.04757862499674011,0.00046289428622496717,0.5160753880266076,5418,Other,0.010517563769373678,True,0.04757862499674011,6,48h
L_M_S_cmf_21_bnd_N,-0.04724935426913715,0.000506870543102346,0.4811529933481153,5418,Volume,0.010517563769373678,True,0.04724935426913715,6,48h
L_M_S_cmf_12_bnd_N,-0.04124611101913804,0.002385986586996703,0.48016971038553774,5427,Volume,0.0360067066764957,True,0.04124611101913804,6,48h
S_N_longShortZscore_63_zsc_N,-0.03975101308642732,0.005559100852887904,0.4888980263157895,4870,Sentiment,0.076900895131616,False,0.03975101308642732,6,48h
S_longShortRatio_rat_N,-0.03638845167663896,0.010164873376646568,0.5148356054530874,4994,Sentiment,0.1090296872373293,False,0.03638845167663896,6,48h
L_M_S_cmf_6_bnd_N,-0.036182555821555794,0.0076814125201323654,0.48148148148148145,5433,Volume,0.09808572910322866,False,0.036182555821555794,6,48h
L_M_S_obv_42_zsc_N,0.03569822936050139,0.008765405028386247,0.5012987012987012,5396,Volatility,0.10393265962229406,False,0.03569822936050139,6,48h
D_N_closeVsMarkVol_12_pct_N,-0.03474840783873425,0.010508885516851016,0.5168788046485888,5427,Other,0.1090296872373293,False,0.03474840783873425,6,48h
L_M_S_mfi_6_bnd_N,0.03465763786208358,0.011865406661044804,0.5036053130929792,5276,Volume,0.11586220621961398,False,0.03465763786208358,6,48h
N_V_bollingerBandwidth_42_pct_N,0.033388514665544135,0.014221702625097544,0.5162307549619737,5397,Volatility,0.13115570198701068,False,0.033388514665544135,6,48h
L_M_S_mfi_12_bnd_N,0.030358552232731616,0.025443401349545224,0.5167958656330749,5424,Volume,0.22229498021181618,False,0.030358552232731616,6,48h
L_M_N_volumeRoc_6_pct_N,0.030034255602931964,0.026942195790787573,0.5058975304091412,5432,Volume,0.22362022506353685,False,0.030034255602931964,6,48h
D_F_N_S_premiumZscore_21_zsc_N,-0.027644473834383836,0.04161234719853766,0.4880338733431517,5438,Premium,0.3289356969027263,False,0.027644473834383836,6,48h
D_N_closeVsMarkVol_6_pct_N,-0.026495187545912756,0.05096847542018064,0.5152017689331122,5433,Other,0.38458031453409025,False,0.026495187545912756,6,48h
V_D_F_S_premiumRange_pct_N,0.02579154949894716,0.05733212801191133,0.5169366715758469,5438,Volatility,0.4137884021729253,False,0.02579154949894716,6,48h
V_rogersSatchell_12_pct_N,0.02542249149229819,0.061253130025380555,0.5168788046485888,5427,Volatility,0.4236674826755488,False,0.02542249149229819,6,48h
V_atrPct_6_pct_N,0.024567056167899178,0.07024408580614955,0.5170318541705027,5437,Volatility,0.466420729752833,False,0.024567056167899178,6,48h
M_D_F_S_premiumChange_pct_N,-0.023965319853861487,0.07737209379928739,0.4900589101620029,5438,Premium,0.49399106041083485,False,0.023965319853861487,6,48h
V_atrPct_3_pct_N,0.023725699772042846,0.08040921780107169,0.5170318541705027,5437,Volatility,0.4943677835177,False,0.023725699772042846,6,48h
V_garmanKlass_12_pct_N,0.023483426675618178,0.08383339033390018,0.5168788046485888,5427,Volatility,0.49701224269383676,False,0.023483426675618178,6,48h
V_skew_12_rat_N,0.023165281996252778,0.08814248554805866,0.4996309963099631,5426,Volatility,0.5045397448613013,False,0.023165281996252778,6,48h
L_N_volumeRatio_12_rat_N,0.022943062495694055,0.09120568499798319,0.5168788046485888,5427,Volume,0.5046714569888403,False,0.022943062495694055,6,48h
F_I_M_fundingMaDiff_7_21_pct_N,-0.022399484648580447,0.09879652252267694,0.45913107511045653,5438,Funding,0.5290394431859475,False,0.022399484648580447,6,48h
M_winRate_12_bnd_N,0.022164540788704546,0.10273374066207547,0.5168788046485888,5427,Other,0.5329312796845165,False,0.022164540788704546,6,48h
L_N_volOiRatio_rat_N,0.021893723773844666,0.10664992570133605,0.5171207658321061,5438,OpenInterest,0.5364814444370238,False,0.021893723773844666,6,48h
D_F_N_S_premiumZscore_42_zsc_N,-0.020700777482768946,0.12713364567676824,0.4895066273932253,5438,Premium,0.6032243080045331,False,0.020700777482768946,6,48h
V_atrPct_12_pct_N,0.02069984222635827,0.12718584807324493,0.5170318541705027,5437,Volatility,0.6032243080045331,False,0.02069984222635827,6,48h
V_parkinson_12_pct_N,0.020390946857963683,0.1333185615530758,0.5168788046485888,5427,Volatility,0.6147467004947385,False,0.020390946857963683,6,48h
V_kurtosis_21_rat_N,-0.01980583645224002,0.14519542671278535,0.5117353539087045,5417,Volatility,0.6326343753892438,False,0.01980583645224002,6,48h
V_volMomentum_6_pct_N,0.019632009355185626,0.14830984647753673,0.5078369905956113,5429,Volatility,0.6326343753892438,False,0.019632009355185626,6,48h
M_winRate_6_bnd_N,0.019532326051342534,0.15023083621408992,0.5129906025428413,5433,Other,0.6326343753892438,False,0.019532326051342534,6,48h
V_yangZhang_12_pct_N,0.019253878187954803,0.15678172106865051,0.5158964879852126,5416,Volatility,0.6326343753892438,False,0.019253878187954803,6,48h
V_autocorr_21_bnd_N,-0.019245823059536565,0.15691692957251574,0.4989835520236555,5417,Volatility,0.6326343753892438,False,0.019245823059536565,6,48h
F_I_M_fundingMaDiff_3_21_pct_N,-0.019048535814499185,0.16040182764131425,0.46078792341678937,5438,Funding,0.6326343753892438,False,0.019048535814499185,6,48h
L_S_oiVolumeRatio_6_rat_N,-0.018779168453363734,0.16659424508320952,0.5168601437258153,5433,OpenInterest,0.6326343753892438,False,0.018779168453363734,6,48h
D_N_premiumRange_rat_N,0.018645767086263764,0.16946997281334075,0.516847726017308,5437,Other,0.6326343753892438,False,0.018645767086263764,6,48h
M_V_sortino_42_rat_N,0.01850518151323423,0.17434026118831608,0.49684601113172544,5396,Volatility,0.6326343753892438,False,0.01850518151323423,6,48h
M_V_sharpe_42_rat_N,0.018463691498537327,0.17530832089099527,0.49684601113172544,5396,Volatility,0.6326343753892438,False,0.018463691498537327,6,48h
L_M_N_S_oiRoc_12_pct_N,-0.017945484977150174,0.18651473846998612,0.49428044280442807,5426,OpenInterest,0.6460393375955534,False,0.017945484977150174,6,48h
L_N_volumeRatio_21_rat_N,0.01791907872469265,0.18748973181544165,0.5160753880266076,5418,Volume,0.6460393375955534,False,0.01791907872469265,6,48h
L_M_S_obv_21_zsc_N,0.017791240911532027,0.19069835868784407,0.4958418037331362,5417,Volatility,0.6460393375955534,False,0.017791240911532027,6,48h
M_N_V_rangeExpansion_12_rat_N,0.01756214743252433,0.1960603578287977,0.5168788046485888,5427,Volatility,0.6509203879916083,False,0.01756214743252433,6,48h
M_V_calmar_21_rat_N,-0.017337984250498276,0.20224743802633355,0.48623175013860653,5417,Volatility,0.6545486605960653,False,0.017337984250498276,6,48h
M_V_calmar_42_rat_N,0.017264808568110048,0.2050393394638277,0.49684601113172544,5396,Volatility,0.6545486605960653,False,0.017264808568110048,6,48h
C_N_upperShadow_bnd_N,0.016902689119424903,0.2129237685765678,0.5128865979381443,5438,Candlestick,0.6623245421094531,False,0.016902689119424903,6,48h
D_F_T_premiumMa_7_pct_N,-0.01680958896029471,0.21545497152958112,0.508100147275405,5438,Premium,0.6623245421094531,False,0.01680958896029471,6,48h
