name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.014714132544267015,0.014832136250889534,0.008019752810132272,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.01571168340585717,8.81528400350362,762.0409349910915,1
RollingZScore,0.014832136250889534,0.015416102326970844,0.03937167662609083,166,166,0.005100209591584433,0.021578406306358204,0.01571168340585717,0.005035888635927437,0.10575700434856117,146.47694199811667,2
Interactions,0.015416102326970844,0.01649537591599349,0.07000949780499836,166,171,0.021578406306358204,0.02378325364717421,0.005035888635927437,0.005877035640521236,838.3596589847002,9.631933004129678,3
Default_TOTAL,0.014714132544267015,0.01649537591599349,0.12105663410751501,166,171,,,,,,,4
