name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.01679884560536625,0.016820099419586704,0.0012651949183427793,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.01571168340585717,9.291533991927281,748.1972450041212,1
RollingZScore,0.016820099419586704,0.016907380168129427,0.005189074442816826,166,166,0.005100209591584433,0.021578406306358204,0.01571168340585717,0.005035888635927437,0.10062198271043599,147.45540398871526,2
Interactions,0.016907380168129427,0.017685741124131613,0.04603675694627888,166,170,0.021578406306358204,0.024711723600804793,0.005035888635927437,0.005903610009058167,865.4327569820452,9.389382001245394,3
Default_TOTAL,0.01679884560536625,0.017685741124131613,0.05279502736798465,166,170,,,,,,,4
