feature,importance_mean,importance_std,domain
F_I_T_fundingMa_7_pct_N,0.0,0.0,Funding
F_I_T_fundingMa_3_pct_N,0.0,0.0,Funding
N_P_zScore_12_zsc_N,0.0,0.0,Other
N_P_zScore_21_zsc_N,0.0,0.0,Other
N_V_atrPercentile_21_rnk_N,0.0,0.0,Volatility
M_N_rsi_21_bnd_N,0.0,0.0,Oscillator
M_winRate_6_bnd_N,0.0,0.0,Other
B_C_candleDirection_bin,0.0,0.0,Candlestick
B_consecutiveUp_bnd_N,-4.0554241297767e-05,0.001311935915973077,Other
M_V_calmar_21_rat_N,-4.8439788216725344e-05,0.0006319511836184078,Volatility
D_F_T_premiumMa_7_pct_N,-6.759040216290184e-05,0.0016975218825752655,Premium
V_returnStd_12_pct_N,-8.110848259546e-05,0.0011435868604578836,Volatility
L_M_N_S_oiRoc_6_pct_N,-0.00010025909654163649,0.0024055479099270747,OpenInterest
V_returnStd_21_pct_N,-0.00013180128421763637,0.0008485355188347197,Volatility
N_P_L_vwapDeviation_pct_N,-0.00016109045848825923,0.0018980237276876946,Other
N_P_T_priceEmaDeviation_21_pct_N,-0.00016672299200182206,8.443541602540262e-05,Other
L_M_S_cmf_21_bnd_N,-0.00018474709924522678,0.00024384642095118416,Volume
V_atrPct_6_pct_N,-0.00019037963275878958,0.0005938816838406539,Volatility
N_P_V_pctB_21_bnd_N,-0.00021290976681315188,0.0008502208124179167,Volatility
V_rogersSatchell_21_pct_N,-0.0002906387293004631,0.0008675871655124897,Volatility
F_I_fundingCumulative_21_pct_N,-0.0003548496113551976,0.0002484502807405661,Funding
D_N_markCloseDeviation_pct_N,-0.00036611467838230477,0.00017917477766754314,Other
S_M_longShortChange_12_pct_N,-0.00039540385265294614,0.0006646752309463009,Sentiment
D_N_V_markAtrRatio_12_rat_N,-0.00043483158724799686,0.001335437467767698,Volatility
S_N_longShortZscore_63_zsc_N,-0.0004584882280049644,0.0022411193310880387,Sentiment
V_kurtosis_42_rat_N,-0.0005373436971949919,0.0008852923687146962,Volatility
N_P_T_priceSmaDeviation_12_pct_N,-0.0005711388982764428,0.001274758688043155,Other
V_parkinson_12_pct_N,-0.0007265968232511022,0.000911130153569805,Volatility
L_M_N_S_oiRoc_3_pct_N,-0.0007558859975216881,9.678784059487509e-05,OpenInterest
F_TM_fundingCyclePosition_bin,-0.0007648980511433997,0.0006845250213210106,Other
D_F_basis_pct_N,-0.0007705305846569624,0.00012453886970389716,Premium
V_rogersSatchell_12_pct_N,-0.0007739101047651298,0.0005524042453846807,Volatility
V_atrPct_12_pct_N,-0.0007964402388193811,0.0001991018935588529,Volatility
M_T_ppo_8_21_pct_N,-0.0007986932522248691,0.0006650951287357737,Trend
M_V_sharpe_21_rat_N,-0.0008291089331981342,0.00041660344101149326,Volatility
C_N_upperShadow_bnd_N,-0.0008426270136307109,0.0009447570545089795,Candlestick
M_P_roc_21_pct_N,-0.0008640306409823384,0.00036868621422972685,Momentum
D_N_V_markAtrRatio_6_rat_N,-0.000870789681198599,0.00145051988131132,Volatility
L_M_N_S_oiRoc_12_pct_N,-0.000887687281739343,0.001769036657476322,OpenInterest
N_P_T_priceEmaDeviation_12_pct_N,-0.0009090909090909149,0.0004056644328467685,Other
L_V_amihudIlliquidity_21_rat_N,-0.0009710487777402169,0.0003789318055999653,Volatility
V_parkinson_21_pct_N,-0.0009845668581727751,0.0015172861863784026,Volatility
M_T_V_adx_6_bnd_N,-0.0010059704855244027,0.001199916317232025,Volatility
L_S_oiVolumeRatio_12_rat_N,-0.0010589163005519746,0.00045893777994224905,OpenInterest
L_M_S_mfi_21_bnd_N,-0.0011197476624986158,0.00030239099567039496,Volume
V_garmanKlass_12_pct_N,-0.0011220006759040113,8.36502341590275e-05,Volatility
M_V_sortino_42_rat_N,-0.001154669370282783,0.0008547372854602523,Volatility
L_V_amihudIlliquidity_63_rat_N,-0.0011693139574180944,0.0009576989958717106,Volatility
M_P_roc_3_pct_N,-0.0011963501182832108,0.0007628588277299942,Momentum
M_T_V_adx_12_bnd_N,-0.0011974766249859454,0.001411464798633046,Volatility
M_N_V_rangeExpansion_12_rat_N,-0.001240283879689071,0.001668855711666715,Volatility
B_TM_dayOfWeek_bin,-0.0013270248957981494,0.0011159525875504496,Other
V_volMomentum_21_pct_N,-0.0013484285231497029,0.0007849852427411503,Volatility
L_N_S_oiRatio_12_rat_N,-0.0014261574856370325,0.00027742271774192236,OpenInterest
N_M_cci_21_zsc_N,-0.0014351695392587442,0.000917066406064556,Other
V_maxDrawdown_42_pct_N,-0.0015050129548270415,0.0004931886999425427,Volatility
D_N_V_markAtrRatio_21_rat_N,-0.001562464796665534,0.0007615868516019568,Volatility
L_M_N_volumeRoc_6_pct_N,-0.0015635913033682318,0.0023169583903600703,Volume
N_P_T_priceSmaDeviation_6_pct_N,-0.001636814239044715,0.00154066667678148,Other
M_P_V_momAtr_12_rat_N,-0.0017213022417482866,0.0010179682042001901,Momentum
L_V_amihudIlliquidity_12_rat_N,-0.0017438323758026304,0.00046879194410400963,Volatility
