name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.011234563295457268,0.011233959153850856,-5.377526345671627e-05,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.0140757510194914,89.84733400575351,89.11942000850104,1
RollingZScore,0.011233959153850856,0.011244471851825652,0.0009357963418990606,166,166,0.005100209591584433,0.021578406306358204,0.0140757510194914,0.00433919018833294,0.1050509890774265,150.88260399352293,2
Interactions,0.011244471851825652,0.012230953020327536,0.08773032408531362,166,171,0.021578406306358204,0.0222067366528372,0.00433919018833294,0.005416102182888232,874.1110190021573,5.257383993011899,3
Default_TOTAL,0.011234563295457268,0.012230953020327536,0.08868967042129663,166,171,,,,,,,4
