name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.021358746665902664,0.02137552857354241,0.0007857159328531328,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.01571168340585717,8.935280988225713,740.7870309834834,1
RollingZScore,0.02137552857354241,0.02175353786111851,0.01768420764460352,166,166,0.005100209591584433,0.021578406306358204,0.01571168340585717,0.005035888635927437,0.10448897955939174,147.7129309787415,2
Interactions,0.02175353786111851,0.022569964519032055,0.03753075289972586,166,171,0.021578406306358204,0.025792076120176623,0.005035888635927437,0.005964528847835196,729.1202650230844,9.041084995260462,3
Default_TOTAL,0.021358746665902664,0.022569964519032055,0.05670828285969436,166,171,,,,,,,4
