name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.10384728440532705,0.10393722377957744,0.0008660734334924103,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.01571168340585717,9.734047984238714,788.7811760010663,1
Interactions,0.10393722377957744,0.11437107250881076,0.10038606323873023,166,170,0.005100209591584433,0.006252298639205591,0.01571168340585717,0.016044128289949527,702.1088039909955,13.333557988516986,2
Default_TOTAL,0.10384728440532705,0.11437107250881076,0.1013390783746866,166,170,,,,,,,3
