target,horizon,best_pipeline,best_ic,baseline_ic,improvement_pct,n_features
direction,1,winsorize_zscore_interactions,0.017714912451927797,0.01652356388530928,7.209997642686021,171
direction,3,winsorize_zscore_interactions,0.022569964519032055,0.021358746665902664,5.6708283125198164,171
direction,6,winsorize_zscore_interactions,0.01817430001104331,0.014424593096321927,25.995235287971525,171
direction,12,winsorize_rank_interactions,0.023533235751416078,0.019733307540738442,19.2564181287545,170
returns,1,winsorize_interactions,0.012204271743249078,0.011234563295457268,8.63147433762659,171
returns,3,winsorize_interactions,0.017744317100603195,0.01679884560536625,5.628193254749137,171
returns,6,winsorize_zscore_interactions,0.01649537591599349,0.014714132544267015,12.105663493023856,171
returns,12,winsorize_zscore_interactions,0.02271636029867241,0.0185286717071086,22.60112682528228,171
volatility,1,winsorize_interactions,0.09058314983342232,0.08850599972617246,2.3469031632616195,171
volatility,3,winsorize_interactions,0.07839760732408836,0.07721324436276233,1.5338857615691774,171
volatility,6,winsorize_interactions,0.065854288742598,0.06517002039605156,1.0499741175282642,171
volatility,12,winsorize,0.06183163190310115,0.06164216650973859,0.3073632938138615,166
vol_regime,1,winsorize_interactions,0.1759822148661798,0.1676933232746328,4.942887068897913,171
vol_regime,3,winsorize_interactions,0.1759822148661798,0.1676933232746328,4.942887068897913,171
vol_regime,6,winsorize_interactions,0.1759822148661798,0.1676933232746328,4.942887068897913,171
vol_regime,12,winsorize_interactions,0.16412495052571352,0.15762603038258263,4.12299930877978,171
trend_regime,1,winsorize_interactions,0.14386879307274716,0.13189347319642108,9.079539408665013,170
trend_regime,3,winsorize_interactions,0.14386879307274716,0.13189347319642108,9.079539408665013,170
trend_regime,6,winsorize_rank_interactions,0.11549718854106067,0.10384728440532705,11.21830407260608,171
trend_regime,12,winsorize_interactions,0.08567927041408084,0.08249704715937738,3.857378372047276,169
