target,horizon,helper,baseline_ic,best_ic,improvement_pct,best_config
returns,12,if,0.17486320207156505,0.18349626482113757,4.937038008739722,"{'contamination_extreme': 0.01, 'contamination_moderate': 0.05, 'contamination_mild': 0.1, 'n_estimators': 100}"
returns,12,kalman,0.05456759864008871,0.07012759610358507,28.5150856025851,"{'process_noise': 0.0001, 'measurement_noise': 0.001}"
returns,12,cusum,0.11577639627214716,0.13935984464858028,20.369824191968483,"{'threshold': 3.0, 'drift': 0.2}"
direction,1,hmm4,0.08431625175247781,0.18794556218121963,122.9054995624808,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,1,hmm5,0.07488082245620144,0.11798792342947155,57.567611518268116,"{'n_states': 6, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,1,garch,0.04200375341590464,0.04200375341590464,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
direction,1,if,0.1965830637020223,0.1965830637020223,0.0,"{'contamination_extreme': 0.005, 'contamination_moderate': 0.02, 'contamination_mild': 0.05, 'n_estimators': 100}"
direction,1,kalman,0.06706875639231002,0.09385108672798367,39.93264789198396,"{'process_noise': 0.0001, 'measurement_noise': 0.001}"
direction,1,cusum,0.11747493289328471,0.12053829377597886,2.607671957963088,"{'threshold': 3.0, 'drift': 0.2}"
direction,3,hmm4,0.10287153036915488,0.17184615251426263,67.04928165994232,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,3,hmm5,0.14699852279888853,0.14699852279888853,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,3,garch,0.1034293410166696,0.1034293410166696,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
direction,3,if,0.11525458428358974,0.11945437214579356,3.6439226155811975,"{'contamination_extreme': 0.01, 'contamination_moderate': 0.05, 'contamination_mild': 0.1, 'n_estimators': 100}"
direction,3,kalman,0.15467960562386765,0.15467960562386765,0.0,"{'process_noise': 1e-06, 'measurement_noise': 0.001}"
direction,3,cusum,0.11742680875867935,0.1379798715336303,17.502870930597293,"{'threshold': 5.0, 'drift': 0.0}"
direction,6,hmm4,0.15743007250843488,0.15743007250843488,0.0,"{'n_states': 3, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,6,hmm5,0.12284979861589815,0.12284979861589815,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,6,garch,0.138358430670287,0.138358430670287,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
