feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic,horizon_bars,horizon_label
V_hurstExponent_63_rat_N,0.05725949381257731,2.678100624965213e-05,0.5139612807148176,5375,Volatility,0.002815017677540189,True,0.05725949381257731,3,24h
M_T_V_adx_12_bnd_N,0.0562040389982273,3.391587563301432e-05,0.5143540669856459,5437,Volatility,0.002815017677540189,True,0.0562040389982273,3,24h
L_M_S_cmf_21_bnd_N,-0.04631252528604969,0.0006519490818261696,0.47867036011080333,5418,Volume,0.032461338077763434,True,0.04631252528604969,3,24h
L_M_S_cmf_12_bnd_N,-0.045595987025853865,0.0007822009175364683,0.4769542772861357,5427,Volume,0.032461338077763434,True,0.045595987025853865,3,24h
M_P_roc_3_pct_N,-0.042888505836606576,0.0015685088513801343,0.468519882179676,5435,Momentum,0.052074493865820456,False,0.042888505836606576,3,24h
S_M_longShortChange_3_pct_N,-0.04069541367318972,0.004052590818645061,0.49378259125551544,4989,Sentiment,0.08423339410603851,False,0.04069541367318972,3,24h
S_M_longShortChange_12_pct_N,-0.04026944897507717,0.004492126522204863,0.49588105284307815,4980,Sentiment,0.08423339410603851,False,0.04026944897507717,3,24h
S_N_longShortZscore_21_zsc_N,-0.03900412152869107,0.006054560803240673,0.49767723692183397,4954,Sentiment,0.09136882666708651,False,0.03900412152869107,3,24h
N_P_T_priceSmaDeviation_3_pct_N,-0.03871743797329678,0.004314091499042714,0.4734032762746181,5436,Other,0.08423339410603851,False,0.03871743797329678,3,24h
D_F_N_S_premiumZscore_21_zsc_N,-0.03817791090613482,0.004878512476347306,0.48850045998160074,5438,Premium,0.08423339410603851,False,0.03817791090613482,3,24h
N_P_T_priceEmaDeviation_3_pct_N,-0.03800620764921767,0.005074300849761356,0.47046918123275067,5438,Other,0.08423339410603851,False,0.03800620764921767,3,24h
D_F_N_S_premiumZscore_42_zsc_N,-0.0347954591456763,0.010305890444142162,0.4953081876724931,5438,Premium,0.14256481781063324,False,0.0347954591456763,3,24h
N_P_T_priceSmaDeviation_6_pct_N,-0.033843452582810934,0.012630733579801693,0.47384898710865564,5433,Other,0.1600837236115361,False,0.033843452582810934,3,24h
V_atrPct_3_pct_N,0.03325003759524017,0.014239560310423272,0.5143540669856459,5437,Volatility,0.1600837236115361,False,0.03325003759524017,3,24h
D_N_closeVsMarkVol_21_pct_N,-0.033128954242165096,0.014770562959563171,0.5133887349953832,5418,Other,0.1600837236115361,False,0.033128954242165096,3,24h
N_P_V_pctB_3_bnd_N,-0.03285947053004221,0.01542975649267818,0.5142646788146512,5436,Volatility,0.1600837236115361,False,0.03285947053004221,3,24h
V_hurstExponent_126_rat_N,0.032238219705372495,0.018822536712536083,0.5127142588058015,5312,Volatility,0.17486544121587355,False,0.032238219705372495,3,24h
M_N_rocAccel_3_dif_N,-0.0317428874953159,0.0193394586450093,0.4881193589979738,5432,Momentum,0.17486544121587355,False,0.0317428874953159,3,24h
M_P_L_vwapReturn_pct_N,-0.031554047850285996,0.02001471917531083,0.479020979020979,5437,Momentum,0.17486544121587355,False,0.031554047850285996,3,24h
S_N_longShortZscore_63_zsc_N,-0.030922803570011974,0.030985667379371827,0.49434970207520035,4870,Sentiment,0.2057448313990289,False,0.030922803570011974,3,24h
V_atrPct_6_pct_N,0.030728776773952315,0.023500032958246552,0.5143540669856459,5437,Volatility,0.19505027355344637,False,0.030728776773952315,3,24h
V_D_F_S_premiumRange_pct_N,0.02996191474240115,0.0271848232508357,0.5140754369825207,5438,Volatility,0.20563517331807776,False,0.02996191474240115,3,24h
N_P_T_priceEmaDeviation_6_pct_N,-0.029920882100303463,0.027396096464683006,0.47709291628334866,5438,Other,0.20563517331807776,False,0.029920882100303463,3,24h
