name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.0185286717071086,0.01865698793618325,0.006925279394576946,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.01571168340585717,9.313061978900805,746.3052289967891,1
RollingZScore,0.01865698793618325,0.02123902812255044,0.13839533912760177,166,166,0.005100209591584433,0.021578406306358204,0.01571168340585717,0.005035888635927437,0.0978760072030127,152.11366800940596,2
Interactions,0.02123902812255044,0.02271636029867241,0.0695574279878503,166,171,0.021578406306358204,0.023713353507589005,0.005035888635927437,0.006223334568436216,835.0006420223508,9.289270994486287,3
Default_TOTAL,0.0185286717071086,0.02271636029867241,0.22601126703303073,166,171,,,,,,,4
