name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.0185286717071086,0.01852893398603333,1.4155300901131693e-05,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.0140757510194914,106.33910600154195,103.8821249967441,1
RollingZScore,0.01852893398603333,0.021150078971985977,0.14146226511369614,166,166,0.005100209591584433,0.021578406306358204,0.0140757510194914,0.00433919018833294,0.11144900054205209,148.13078500446863,2
Interactions,0.021150078971985977,0.022597906713737362,0.06845495644832285,166,171,0.021578406306358204,0.022336858451141955,0.00433919018833294,0.005396580781574271,842.4585699976888,6.300859007751569,3
Default_TOTAL,0.0185286717071086,0.022597906713737362,0.21961827857880142,166,171,,,,,,,4
