name,ic_before,ic_after,ic_improvement,n_features_in,n_features_out,nan_pct_before,nan_pct_after,outlier_pct_before,outlier_pct_after,fit_time_ms,transform_time_ms,step
Winsorize,0.01679884560536625,0.016791443288509598,-0.00044064437441005376,166,166,0.005100209591584433,0.005100209591584433,0.016506443570232992,0.0140757510194914,90.90532100526616,88.32718299527187,1
RollingZScore,0.016791443288509598,0.016797543153127273,0.00036327220218895556,166,166,0.005100209591584433,0.021578406306358204,0.0140757510194914,0.00433919018833294,0.10341599409002811,161.00372000073548,2
Interactions,0.016797543153127273,0.018000852500011513,0.07163603205249756,166,171,0.021578406306358204,0.02265409754618249,0.00433919018833294,0.005645166127380112,899.3713109957753,5.6849929969757795,3
Default_TOTAL,0.01679884560536625,0.018000852500011513,0.07155294570395938,166,171,,,,,,,4
