iter	Logloss
0	0.6870420188
1	0.6824159993
2	0.6783711264
3	0.6747517364
4	0.6718908443
5	0.6695567731
6	0.6671599037
7	0.6654195406
8	0.6637141619
9	0.6621819069
10	0.6611632196
11	0.6597791612
12	0.6587839075
13	0.6580574731
14	0.6574072736
15	0.6568760511
16	0.6559668035
17	0.65533365
18	0.6546211539
19	0.6539499904
20	0.6534747904
21	0.6529712526
22	0.6524897515
23	0.6521128115
24	0.651517814
25	0.6510336232
26	0.6505471822
27	0.6501368004
28	0.6498151222
29	0.6493706539
30	0.6488519014
31	0.6483569772
32	0.6479354263
33	0.6473897548
34	0.6468271243
35	0.6465127381
36	0.6461260963
37	0.6458829599
38	0.6455771151
39	0.6453627414
40	0.6447856239
41	0.6444589515
42	0.6440946124
43	0.6439099449
44	0.6436415638
45	0.6432086224
46	0.6429410011
47	0.6426729359
48	0.6423084767
49	0.6419524095
50	0.6416017199
51	0.6412952095
52	0.6409422502
53	0.6407841966
54	0.6404990354
55	0.6401410338
56	0.639864838
57	0.6396104726
58	0.63920335
59	0.6389129592
60	0.6385677923
61	0.6382137771
62	0.6377855139
63	0.6374892783
64	0.637159758
65	0.636917729
66	0.6366453136
67	0.6364600479
68	0.6361297073
69	0.6357862558
70	0.6355275954
71	0.6352794892
72	0.6349077041
73	0.6343636493
74	0.6340009269
75	0.6338637987
76	0.6336422828
77	0.6334753817
78	0.6333618406
79	0.6329988596
80	0.6327719544
81	0.6323925209
82	0.6319899103
83	0.6317733222
84	0.6315440951
85	0.6312284559
86	0.6309741089
87	0.6306374992
88	0.6303375992
89	0.6300460616
90	0.6297130364
91	0.6294564288
92	0.6291429399
93	0.6287133513
94	0.6283649942
95	0.6281129831
96	0.6278460796
97	0.6276153519
98	0.627386972
99	0.6271119649
100	0.6266810241
101	0.6263820128
102	0.6259282031
103	0.6257407507
104	0.6253138467
105	0.6251431079
106	0.6247251319
107	0.6243861103
108	0.62411967
109	0.6239936545
110	0.6237307684
111	0.6233849831
112	0.6232366405
113	0.6230522925
114	0.6228409251
115	0.6225465884
116	0.6223664367
117	0.6221877706
118	0.6218333857
119	0.6215692172
120	0.6213608962
121	0.6207907757
122	0.6205423293
123	0.6201417802
124	0.6199297203
125	0.6195761247
126	0.6192960188
127	0.619078911
128	0.6187233541
129	0.6184069811
130	0.6181251847
131	0.6178252379
132	0.6173174646
133	0.6170852123
134	0.6168466864
135	0.6165476941
136	0.6161237509
137	0.6156698484
138	0.6154416276
139	0.6151198722
140	0.6143599265
141	0.6139187677
142	0.6136400701
143	0.6132470209
144	0.6128503367
145	0.6125098213
146	0.6122541122
147	0.6118709302
148	0.6116667032
149	0.6113080952
150	0.6110606015
151	0.6107893227
152	0.6105045491
153	0.61028975
154	0.6100589012
155	0.6097881416
156	0.6094682489
157	0.6092061295
158	0.6088997405
159	0.6085421853
160	0.608218231
161	0.6078099757
162	0.6076022241
163	0.6072293435
164	0.6069727231
165	0.6066930627
166	0.6063708973
167	0.6061396656
168	0.605858696
169	0.6055942131
170	0.6050399446
171	0.6047652324
172	0.6043117462
173	0.6039462233
174	0.6037491586
175	0.6034890431
176	0.6032722665
177	0.6028411745
178	0.6025410153
179	0.6022358287
180	0.601871772
181	0.6016243354
182	0.601302872
183	0.6010506115
184	0.6006437499
185	0.6003438105
186	0.5998754565
187	0.5995664666
188	0.5991446155
189	0.5987431061
190	0.5983804711
191	0.5981129004
192	0.5978668061
193	0.5976354269
194	0.5974039257
195	0.5970533604
196	0.596849814
197	0.5964351275
198	0.596117061
199	0.5957850196
200	0.595553036
201	0.5953596646
202	0.5950694546
203	0.5947942548
204	0.5946020949
205	0.5943557109
206	0.5940513122
207	0.5937135874
208	0.5934120434
209	0.5930617509
210	0.592734128
211	0.59238808
212	0.5920152622
213	0.591810885
214	0.5915005492
215	0.591130233
216	0.5909249094
217	0.5906532804
218	0.5902490679
219	0.5900082243
220	0.589712079
221	0.5894649439
222	0.5892387234
223	0.5890232888
224	0.5887888268
225	0.5885992913
226	0.5884145113
227	0.5879967883
228	0.5876627248
229	0.5872532033
230	0.5869285262
231	0.5866512968
232	0.5864591627
233	0.5861869031
234	0.5858197508
235	0.5856475134
236	0.5852581034
237	0.5849041429
238	0.5846002056
239	0.5842738232
240	0.5839503338
241	0.5835586317
242	0.5831572881
243	0.5828893215
244	0.5825795002
245	0.5823826301
246	0.5820546314
247	0.5818050629
248	0.5815589791
249	0.5813151891
250	0.5809985699
251	0.5806823069
252	0.5803724405
253	0.5800779057
254	0.5799077461
255	0.5795583298
256	0.579187839
257	0.5788546382
258	0.5784929565
259	0.5782771242
260	0.5780345414
261	0.5776706231
262	0.5773832227
263	0.5772001677
264	0.576875123
265	0.5766805767
266	0.5764297673
267	0.5761495447
268	0.5758719583
269	0.5756122708
270	0.5752859464
271	0.5749553073
272	0.5746891539
273	0.5744571068
274	0.5741699904
275	0.5738933241
276	0.5736645275
277	0.5734241144
278	0.5730340842
279	0.572664354
280	0.5725230604
281	0.5724211765
282	0.5722513923
283	0.5719421959
284	0.5717000309
285	0.5714157014
286	0.5712047084
287	0.570904409
288	0.5706121506
289	0.5703875311
290	0.5701298643
291	0.5698832112
292	0.5696126232
293	0.5693980287
294	0.5691430256
295	0.5688973354
296	0.5686668342
297	0.5683962469
298	0.5681644605
299	0.5678436196
