target,horizon,model,metric,cv_mean,cv_std,holdout
volatility,6,catboost,rmse,0.029361837205898033,0.006849233367368799,
volatility,6,catboost,mae,0.023058432313307998,0.006228907822007908,
volatility,6,catboost,r2,-0.3248379356988057,0.2766112301751325,
volatility,6,catboost,ic,0.04010636238591906,0.12056188329720073,
volatility,6,lightgbm,rmse,0.03104115165106815,0.007630602144877557,
volatility,6,lightgbm,mae,0.024570109164392864,0.0067938196537686195,
volatility,6,lightgbm,r2,-0.4942149851537744,0.3979987923358934,
volatility,6,lightgbm,ic,0.005346385159435479,0.11523768464588499,
volatility,6,ridge,rmse,0.030811926623382925,0.009412649984222105,
volatility,6,ridge,mae,0.02349145396114083,0.007470618640249257,
volatility,6,ridge,r2,-0.4209037348648219,0.4051185506597025,
volatility,6,ridge,ic,0.028966243938852377,0.05298386345336305,
