fold,rmse,mae,r2
1,0.014361153446794336,0.011276654492403384,0.017191736063231655
2,0.011928749850076567,0.009454390215732281,-0.09399978081351468
3,0.00949273259668827,0.006876327922723002,0.06769222876873249
4,0.00983679660935519,0.006929030583519226,0.07514639948058044
5,0.008790820929397689,0.006179276981680164,0.14484090349626955
