fold,rmse,mae,dir_acc
1,0.01505069054494746,0.012224406593120218,0.9988962472406181
2,0.013277568935633139,0.01119819562077956,1.0
3,0.011251406585047143,0.009655691074198173,1.0
4,0.010478623752604289,0.008270381408263734,1.0
5,0.009903574926107156,0.007793381002987737,1.0
